ev_thr,kelly_cap,ws_min,bets,win_rate,avg_odds,roi,profit,bankroll
0.08,0.02,75,541,0.5434380776340111,2.014731977818854,4.42,546.98,1546.98
0.2,0.02,75,343,0.5335276967930029,2.0384839650145774,3.88,273.59,1273.59
0.2,0.03,75,343,0.5335276967930029,2.0384839650145774,3.54,371.55,1371.55
0.2,0.02,100,203,0.5714285714285714,1.9024630541871923,3.41,162.85,1162.85
0.08,0.03,75,541,0.5434380776340111,2.014731977818854,3.33,602.54,1602.54
0.2,0.04,75,343,0.5335276967930029,2.0384839650145774,3.22,446.45,1446.45
0.2,0.03,100,203,0.5714285714285714,1.9024630541871923,2.88,221.69,1221.69
0.1,0.02,75,502,0.5358565737051793,2.01203187250996,2.81,316.37,1316.37
0.12,0.02,75,480,0.5333333333333333,2.0136249999999998,2.55,262.79,1262.79
0.08,0.04,75,541,0.5434380776340111,2.014731977818854,2.41,546.23,1546.23
0.2,0.04,100,203,0.5714285714285714,1.9024630541871923,2.39,262.65,1262.65
0.1,0.03,75,502,0.5358565737051793,2.01203187250996,2.13,357.73,1357.73
0.12,0.03,75,480,0.5333333333333333,2.0136249999999998,1.87,283.28,1283.28
0.2,0.06,75,343,0.5335276967930029,2.0384839650145774,1.73,317.98,1317.98
0.17,0.02,75,399,0.5238095238095238,2.0367418546365914,1.5,121.48,1121.48
0.1,0.04,75,502,0.5358565737051793,2.01203187250996,1.49,317.67,1317.67
0.2,0.06,100,203,0.5714285714285714,1.9024630541871923,1.36,237.75,1237.75
0.08,0.06,75,541,0.5434380776340111,2.014731977818854,1.25,350.87,1350.87
0.2,0.08,100,203,0.5714285714285714,1.9024630541871923,1.17,290.78,1290.78
0.12,0.04,75,480,0.5333333333333333,2.0136249999999998,1.16,221.96,1221.96
0.17,0.03,75,399,0.5238095238095238,2.0367418546365914,1.11,131.09,1131.09
0.2,0.02,125,76,0.5789473684210527,1.784078947368421,1.07,17.05,1017.05
0.17,0.04,75,399,0.5238095238095238,2.0367418546365914,0.74,112.42,1112.42
0.2,0.03,125,76,0.5789473684210527,1.784078947368421,0.68,16.68,1016.68
0.15,0.02,75,434,0.5230414746543779,2.0240552995391705,0.66,57.21,1057.21
0.1,0.06,75,502,0.5358565737051793,2.01203187250996,0.56,150.51,1150.51
0.2,0.04,125,76,0.5789473684210527,1.784078947368421,0.31,10.32,1010.32
0.15,0.03,75,434,0.5230414746543779,2.0240552995391705,0.3,37.82,1037.82
0.12,0.06,75,480,0.5333333333333333,2.0136249999999998,0.28,67.91,1067.91
0.2,0.08,125,76,0.5789473684210527,1.784078947368421,0.12,8.81,1008.81
0.08,0.08,75,541,0.5434380776340111,2.014731977818854,0.08,22.25,1022.25
0.2,0.08,75,343,0.5335276967930029,2.0384839650145774,-0.08,-15.17,984.83
0.15,0.04,75,434,0.5230414746543779,2.0240552995391705,-0.1,-15.92,984.08
0.17,0.06,75,399,0.5238095238095238,2.0367418546365914,-0.13,-27.08,972.92
0.2,0.06,125,76,0.5789473684210527,1.784078947368421,-0.29,-14.94,985.06
0.1,0.08,75,502,0.5358565737051793,2.01203187250996,-0.48,-129.38,870.62
0.1,0.02,125,111,0.5675675675675675,1.770810810810811,-0.62,-15.01,984.99
0.15,0.06,75,434,0.5230414746543779,2.0240552995391705,-0.7,-145.53,854.47
0.12,0.08,75,480,0.5333333333333333,2.0136249999999998,-0.77,-191.88,808.12
0.12,0.08,100,293,0.5460750853242321,1.8955972696245738,-0.79,-209.18,790.82
0.17,0.08,100,236,0.5466101694915254,1.9009745762711865,-0.82,-186.79,813.21
0.17,0.02,125,88,0.5681818181818182,1.770909090909091,-0.89,-16.84,983.16
0.17,0.03,125,88,0.5681818181818182,1.770909090909091,-1.2,-35.07,964.93
0.1,0.08,100,303,0.5412541254125413,1.8933003300330036,-1.2,-308.11,691.89
0.17,0.06,100,236,0.5466101694915254,1.9009745762711865,-1.21,-198.09,801.91
0.08,0.08,100,322,0.5434782608695652,1.8898447204968942,-1.24,-326.64,673.36
0.12,0.06,100,293,0.5460750853242321,1.8955972696245738,-1.25,-244.62,755.38
0.15,0.08,100,262,0.5381679389312977,1.900763358778626,-1.28,-295.47,704.53
0.17,0.02,100,236,0.5466101694915254,1.9009745762711865,-1.34,-67.74,932.26
0.17,0.08,75,399,0.5238095238095238,2.0367418546365914,-1.35,-286.48,713.52
0.17,0.04,100,236,0.5466101694915254,1.9009745762711865,-1.47,-157.15,842.85
0.17,0.04,125,88,0.5681818181818182,1.770909090909091,-1.48,-59.45,940.55
0.12,0.02,100,293,0.5460750853242321,1.8955972696245738,-1.58,-98.41,901.59
0.17,0.03,100,236,0.5466101694915254,1.9009745762711865,-1.6,-124.68,875.32
0.12,0.04,100,293,0.5460750853242321,1.8955972696245738,-1.63,-213.37,786.63
0.1,0.03,125,111,0.5675675675675675,1.770810810810811,-1.64,-59.98,940.02
0.15,0.08,75,434,0.5230414746543779,2.0240552995391705,-1.65,-356.46,643.54
0.08,0.02,125,116,0.5603448275862069,1.7731034482758619,-1.66,-41.15,958.85
0.17,0.08,125,88,0.5681818181818182,1.770909090909091,-1.74,-145.41,854.59
0.1,0.06,100,303,0.5412541254125413,1.8933003300330036,-1.77,-339.11,660.89
0.08,0.06,100,322,0.5434782608695652,1.8898447204968942,-1.81,-356.82,643.18
0.12,0.03,100,293,0.5460750853242321,1.8955972696245738,-1.81,-172.53,827.47
0.08,0.02,100,322,0.5434782608695652,1.8898447204968942,-1.94,-131.05,868.95
0.17,0.06,125,88,0.5681818181818182,1.770909090909091,-1.94,-121.57,878.43
0.15,0.06,100,262,0.5381679389312977,1.900763358778626,-1.95,-327.94,672.06
0.1,0.02,100,303,0.5412541254125413,1.8933003300330036,-2.19,-140.28,859.72
0.1,0.04,100,303,0.5412541254125413,1.8933003300330036,-2.22,-291.15,708.85
0.08,0.04,100,322,0.5434782608695652,1.8898447204968942,-2.28,-311.05,688.95
0.1,0.03,100,303,0.5412541254125413,1.8933003300330036,-2.44,-236.14,763.86
0.08,0.03,100,322,0.5434782608695652,1.8898447204968942,-2.45,-247.96,752.04
0.1,0.08,125,111,0.5675675675675675,1.770810810810811,-2.47,-228.64,771.36
0.1,0.04,125,111,0.5675675675675675,1.770810810810811,-2.51,-122.98,877.02
0.15,0.04,100,262,0.5381679389312977,1.900763358778626,-2.69,-300.31,699.69
0.08,0.03,125,116,0.5603448275862069,1.7731034482758619,-2.76,-102.46,897.54
0.15,0.02,100,262,0.5381679389312977,1.900763358778626,-2.84,-154.68,845.32
0.08,0.08,125,116,0.5603448275862069,1.7731034482758619,-2.92,-268.71,731.29
0.1,0.06,125,111,0.5675675675675675,1.770810810810811,-2.98,-213.03,786.97
0.15,0.03,100,262,0.5381679389312977,1.900763358778626,-2.99,-245.74,754.26
0.15,0.08,125,96,0.5520833333333334,1.7663541666666667,-3.23,-266.62,733.38
0.08,0.04,125,116,0.5603448275862069,1.7731034482758619,-3.42,-168.54,831.46
0.08,0.06,125,116,0.5603448275862069,1.7731034482758619,-3.56,-253.91,746.09
0.12,0.08,125,105,0.5523809523809524,1.7593333333333332,-3.58,-300.01,699.99
0.15,0.02,125,96,0.5520833333333334,1.7663541666666667,-3.88,-77.65,922.35
0.15,0.06,125,96,0.5520833333333334,1.7663541666666667,-4.04,-252.77,747.23
0.15,0.03,125,96,0.5520833333333334,1.7663541666666667,-4.06,-124.03,875.97
0.12,0.02,125,105,0.5523809523809524,1.7593333333333332,-4.15,-89.29,910.71
0.15,0.04,125,96,0.5520833333333334,1.7663541666666667,-4.21,-174.3,825.7
0.12,0.03,125,105,0.5523809523809524,1.7593333333333332,-4.34,-141.41,858.59
0.12,0.06,125,105,0.5523809523809524,1.7593333333333332,-4.43,-285.84,714.16
0.12,0.04,125,105,0.5523809523809524,1.7593333333333332,-4.69,-204.13,795.87
0.08,0.02,0,1785,0.37142857142857144,3.517596638655462,-6.3,-772.81,227.19
0.12,0.02,0,1625,0.36615384615384616,3.5681538461538462,-6.8,-778.28,221.72
0.1,0.02,0,1698,0.3674911660777385,3.547208480565371,-6.97,-790.9,209.1
0.15,0.02,0,1519,0.3627386438446346,3.6224358130348913,-7.19,-757.92,242.08
0.08,0.03,0,1785,0.37142857142857144,3.517596638655462,-7.89,-918.45,81.55
0.17,0.02,0,1437,0.3556019485038274,3.6729505915100904,-8.05,-787.6,212.4
0.12,0.03,0,1625,0.36615384615384616,3.5681538461538462,-8.33,-919.02,80.98
0.1,0.03,0,1698,0.3674911660777385,3.547208480565371,-8.44,-924.88,75.12
0.08,0.04,0,1785,0.37142857142857144,3.517596638655462,-8.61,-967.89,32.11
0.08,0.06,0,1785,0.37142857142857144,3.517596638655462,-8.73,-994.2,5.8
0.2,0.02,0,1319,0.3510235026535254,3.698248673237301,-8.88,-777.32,222.68
0.12,0.04,0,1625,0.36615384615384616,3.5681538461538462,-9.04,-967.72,32.28
0.1,0.06,0,1698,0.3674911660777385,3.547208480565371,-9.08,-994.64,5.36
0.15,0.03,0,1519,0.3627386438446346,3.6224358130348913,-9.09,-911.37,88.63
0.12,0.06,0,1625,0.36615384615384616,3.5681538461538462,-9.09,-994.17,5.83
0.08,0.08,0,1785,0.37142857142857144,3.517596638655462,-9.1,-998.83,1.17
0.1,0.04,0,1698,0.3674911660777385,3.547208480565371,-9.1,-970.3,29.7
0.1,0.08,0,1698,0.3674911660777385,3.547208480565371,-9.39,-998.92,1.08
0.12,0.08,0,1625,0.36615384615384616,3.5681538461538462,-9.4,-998.82,1.18
0.15,0.06,0,1519,0.3627386438446346,3.6224358130348913,-9.73,-992.98,7.02
0.17,0.03,0,1437,0.3556019485038274,3.6729505915100904,-9.74,-924.26,75.74
0.15,0.04,0,1519,0.3627386438446346,3.6224358130348913,-9.78,-963.0,37.0
0.15,0.08,0,1519,0.3627386438446346,3.6224358130348913,-10.0,-998.58,1.42
0.17,0.06,0,1437,0.3556019485038274,3.6729505915100904,-10.08,-994.16,5.84
0.17,0.04,0,1437,0.3556019485038274,3.6729505915100904,-10.29,-968.68,31.32
0.17,0.08,0,1437,0.3556019485038274,3.6729505915100904,-10.33,-998.87,1.13
0.2,0.03,0,1319,0.3510235026535254,3.698248673237301,-10.84,-921.36,78.64
0.2,0.06,0,1319,0.3510235026535254,3.698248673237301,-11.15,-994.27,5.73
0.2,0.08,0,1319,0.3510235026535254,3.698248673237301,-11.25,-998.9,1.1
0.2,0.04,0,1319,0.3510235026535254,3.698248673237301,-11.44,-967.55,32.45
