N,Дата,Ліга,Ставка_на,Проти,Сторона,Коеф,WS_Gap,P_Elo,Результат,WIN/LOSS,Банкрол_до,Стейк_$,PnL_$,Банкрол_$,Зміна_%,Загальний_ROI_%
97,2025-03-30,Serie A,Atalanta,Fiorentina,AWAY,2.2,94,0.598,HOME,LOSS,1653.87,66.15,-66.15,1587.72,-4.0,58.8
98,2025-04-04,Primeira Liga,Estoril,AVS,AWAY,2.4,106,0.631,AWAY,WIN,1587.72,63.51,88.91,1676.63,5.6,67.7
99,2025-04-05,Bundesliga,VfB Stuttgart,VfL Bochum,AWAY,2.45,98,0.651,AWAY,WIN,1676.63,67.07,97.25,1773.88,5.8,77.4
100,2025-04-06,La Liga,Real Sociedad,Las Palmas,AWAY,2.35,99,0.626,AWAY,WIN,1773.88,70.96,95.8,1869.68,5.4,87.0
101,2025-04-06,La Liga,Atletico Madrid,Sevilla,AWAY,2.3,88,0.71,AWAY,WIN,1869.68,74.79,97.23,1966.91,5.2,96.7
102,2025-04-11,Bundesliga,RB Leipzig,VfL Wolfsburg,AWAY,2.3,107,0.595,AWAY,WIN,1966.91,78.68,102.28,2069.19,5.2,106.9
103,2025-04-12,Bundesliga,FSV Mainz 05,1899 Hoffenheim,AWAY,2.55,94,0.624,HOME,LOSS,2069.19,82.77,-82.77,1986.42,-4.0,98.6
104,2025-04-12,Primeira Liga,Nacional,Boavista,AWAY,2.5,88,0.622,AWAY,WIN,1986.42,79.46,119.19,2105.61,6.0,110.6
105,2025-04-12,Ligue 1,Lille,Toulouse,AWAY,2.55,83,0.604,AWAY,WIN,2105.61,84.22,130.54,2236.15,6.2,123.6
106,2025-04-19,Serie A,Como,Lecce,AWAY,2.2,125,0.638,AWAY,WIN,2236.15,89.45,107.34,2343.49,4.8,134.3
107,2025-04-19,Primeira Liga,Casa Pia,AVS,AWAY,2.45,100,0.625,DRAW,LOSS,2343.49,93.74,-93.74,2249.75,-4.0,125.0
108,2025-04-21,La Liga,Real Betis,Girona,AWAY,2.55,90,0.663,AWAY,WIN,2249.75,89.99,139.48,2389.23,6.2,138.9
109,2025-04-26,Bundesliga,Borussia Mönchengladbach,Holstein Kiel,AWAY,2.38,115,0.676,HOME,LOSS,2389.23,95.57,-95.57,2293.66,-4.0,129.4
110,2025-05-03,Bundesliga,Werder Bremen,Union Berlin,AWAY,2.35,105,0.581,DRAW,LOSS,2293.66,91.75,-91.75,2201.91,-4.0,120.2
111,2025-05-04,Bundesliga,Bayer Leverkusen,SC Freiburg,AWAY,2.25,89,0.695,DRAW,LOSS,2201.91,88.08,-88.08,2113.83,-4.0,111.4
112,2025-05-10,Bundesliga,FSV Mainz 05,VfL Bochum,AWAY,2.3,99,0.683,AWAY,WIN,2113.83,84.55,109.91,2223.74,5.2,122.4
113,2025-05-10,La Liga,Villarreal,Girona,AWAY,2.38,115,0.682,AWAY,WIN,2223.74,88.95,122.75,2346.49,5.5,134.6
114,2025-05-15,La Liga,Real Betis,Rayo Vallecano,AWAY,2.3,90,0.639,DRAW,LOSS,2346.49,93.86,-93.86,2252.63,-4.0,125.3
115,2025-05-15,La Liga,Athletic Club,Getafe,AWAY,2.5,103,0.755,AWAY,WIN,2252.63,90.11,135.16,2387.79,6.0,138.8
116,2025-05-17,Bundesliga,Werder Bremen,1. FC Heidenheim,AWAY,2.5,92,0.652,AWAY,WIN,2387.79,95.51,143.27,2531.06,6.0,153.1
117,2025-05-17,Serie A,Atalanta,Genoa,AWAY,2.25,134,0.717,AWAY,WIN,2531.06,101.24,126.55,2657.61,5.0,165.8
118,2025-05-17,Ligue 1,Monaco,Lens,AWAY,2.2,113,0.616,HOME,LOSS,2657.61,106.3,-106.3,2551.31,-4.0,155.1
119,2025-05-18,Serie A,Como,Hellas Verona,AWAY,2.4,136,0.669,DRAW,LOSS,2551.31,102.05,-102.05,2449.26,-4.0,144.9
120,2025-05-18,La Liga,Leganes,Las Palmas,AWAY,2.38,83,0.577,AWAY,WIN,2449.26,97.97,135.2,2584.46,5.5,158.4
121,2025-05-25,La Liga,Atletico Madrid,Girona,AWAY,2.2,116,0.744,AWAY,WIN,2584.46,103.38,124.06,2708.52,4.8,170.9
122,2025-05-25,Serie A,Fiorentina,Udinese,AWAY,2.25,102,0.662,AWAY,WIN,2708.52,108.34,135.43,2843.95,5.0,184.4
123,2025-08-23,La Liga,Celta Vigo,Mallorca,AWAY,2.45,111,0.592,DRAW,LOSS,2843.95,113.76,-113.76,2730.19,-4.0,173.0
124,2025-08-30,Bundesliga,Eintracht Frankfurt,1899 Hoffenheim,AWAY,2.45,112,0.688,AWAY,WIN,2730.19,109.21,158.35,2888.54,5.8,188.9
125,2025-08-30,Premier League,Everton,Wolves,AWAY,2.3,87,0.63,AWAY,WIN,2888.54,115.54,150.2,3038.74,5.2,203.9
126,2025-08-31,La Liga,Villarreal,Celta Vigo,AWAY,2.45,105,0.7,DRAW,LOSS,3038.74,121.55,-121.55,2917.19,-4.0,191.7
127,2025-08-31,Serie A,Fiorentina,Torino,AWAY,2.3,102,0.653,DRAW,LOSS,2917.19,116.69,-116.69,2800.5,-4.0,180.1
128,2025-09-14,Primeira Liga,Guimaraes,Estrela,AWAY,2.45,83,0.686,AWAY,WIN,2800.5,112.02,162.43,2962.93,5.8,196.3
129,2025-09-23,La Liga,Villarreal,Sevilla,AWAY,2.3,97,0.757,AWAY,WIN,2962.93,118.52,154.08,3117.01,5.2,211.7
130,2025-09-27,Bundesliga,Eintracht Frankfurt,Borussia Mönchengladbach,AWAY,2.2,119,0.678,AWAY,WIN,3117.01,124.68,149.62,3266.63,4.8,226.7
131,2025-09-27,Bundesliga,FC Augsburg,1. FC Heidenheim,AWAY,2.45,90,0.609,HOME,LOSS,3266.63,130.67,-130.67,3135.96,-4.0,213.6
132,2025-10-04,Primeira Liga,Alverca,AVS,AWAY,2.5,97,0.681,AWAY,WIN,3135.96,125.44,188.16,3324.12,6.0,232.4
133,2025-10-05,Serie A,AS Roma,Fiorentina,AWAY,2.45,119,0.686,AWAY,WIN,3324.12,132.96,192.79,3516.91,5.8,251.7
134,2025-10-18,Bundesliga,Bayer Leverkusen,FSV Mainz 05,AWAY,2.6,101,0.734,AWAY,WIN,3516.91,140.68,225.09,3742.0,6.4,274.2
135,2025-10-18,Bundesliga,VfB Stuttgart,VfL Wolfsburg,AWAY,2.35,124,0.646,AWAY,WIN,3742.0,149.68,202.07,3944.07,5.4,294.4
136,2025-10-18,Premier League,Leeds,Burnley,AWAY,2.2,86,0.697,HOME,LOSS,3944.07,157.76,-157.76,3786.31,-4.0,278.6
137,2025-10-19,Serie A,Juventus,Como,AWAY,2.38,91,0.632,HOME,LOSS,3786.31,151.45,-151.45,3634.86,-4.0,263.5
138,2025-10-26,Serie A,Juventus,Lazio,AWAY,2.25,110,0.597,HOME,LOSS,3634.86,145.39,-145.39,3489.47,-4.0,248.9
139,2025-10-29,Ligue 1,Lyon,Paris FC,AWAY,2.55,82,0.645,DRAW,LOSS,3489.47,139.58,-139.58,3349.89,-4.0,235.0
140,2025-11-01,Primeira Liga,Famalicao,Nacional,AWAY,2.2,90,0.633,AWAY,WIN,3349.89,134.0,160.8,3510.69,4.8,251.1
141,2025-11-02,Primeira Liga,Tondela,AVS,AWAY,2.4,82,0.658,DRAW,LOSS,3510.69,140.43,-140.43,3370.26,-4.0,237.0
142,2025-11-09,Ligue 1,Nice,Metz,AWAY,2.25,93,0.674,HOME,LOSS,3370.26,134.81,-134.81,3235.45,-4.0,223.5
143,2025-11-22,Serie A,Bologna,Udinese,AWAY,2.25,92,0.664,AWAY,WIN,3235.45,129.42,161.77,3397.22,5.0,239.7
144,2025-11-23,La Liga,Rayo Vallecano,Oviedo,AWAY,2.2,103,0.625,DRAW,LOSS,3397.22,135.89,-135.89,3261.33,-4.0,226.1
145,2025-11-23,Premier League,Aston Villa,Leeds,AWAY,2.4,92,0.722,AWAY,WIN,3261.33,130.45,182.63,3443.96,5.6,244.4
146,2025-11-24,Serie A,Como,Torino,AWAY,2.25,91,0.584,AWAY,WIN,3443.96,137.76,172.2,3616.16,5.0,261.6
147,2025-11-28,Bundesliga,RB Leipzig,Borussia Mönchengladbach,AWAY,2.25,92,0.689,DRAW,LOSS,3616.16,144.65,-144.65,3471.51,-4.0,247.2
148,2025-11-29,Primeira Liga,Famalicao,Moreirense,AWAY,2.25,92,0.578,DRAW,LOSS,3471.51,138.86,-138.86,3332.65,-4.0,233.3
149,2025-11-30,Premier League,Brighton,Nottingham Forest,AWAY,2.6,93,0.615,AWAY,WIN,3332.65,133.31,213.3,3545.95,6.4,254.6
150,2025-12-03,Premier League,Nottingham Forest,Wolves,AWAY,2.35,111,0.683,AWAY,WIN,3545.95,141.84,191.48,3737.43,5.4,273.7
151,2025-12-06,Primeira Liga,Rio Ave,AVS,AWAY,2.4,113,0.679,AWAY,WIN,3737.43,149.5,209.3,3946.73,5.6,294.7
152,2025-12-06,La Liga,Atletico Madrid,Athletic Club,AWAY,2.55,122,0.664,HOME,LOSS,3946.73,157.87,-157.87,3788.86,-4.0,278.9
153,2025-12-12,Bundesliga,RB Leipzig,Union Berlin,AWAY,2.38,140,0.711,HOME,LOSS,3788.86,151.55,-151.55,3637.31,-4.0,263.7
154,2025-12-14,Primeira Liga,Alverca,Arouca,AWAY,2.4,104,0.623,HOME,LOSS,3637.31,145.49,-145.49,3491.82,-4.0,249.2
155,2025-12-15,La Liga,Real Betis,Rayo Vallecano,AWAY,2.5,102,0.616,DRAW,LOSS,3491.82,139.67,-139.67,3352.15,-4.0,235.2
156,2025-12-20,La Liga,Real Sociedad,Levante,AWAY,2.45,93,0.556,DRAW,LOSS,3352.15,134.09,-134.09,3218.06,-4.0,221.8
157,2025-12-21,Primeira Liga,Nacional,AVS,AWAY,2.6,92,0.651,DRAW,LOSS,3218.06,128.72,-128.72,3089.34,-4.0,208.9
158,2025-12-27,Premier League,Fulham,West Ham,AWAY,2.6,87,0.621,AWAY,WIN,3089.34,123.57,197.71,3287.05,6.4,228.7
159,2025-12-27,Premier League,Everton,Burnley,AWAY,2.2,98,0.771,DRAW,LOSS,3287.05,131.48,-131.48,3155.57,-4.0,215.6
160,2026-01-03,Ligue 1,Strasbourg,Nice,AWAY,2.2,80,0.554,DRAW,LOSS,3155.57,126.22,-126.22,3029.35,-4.0,202.9
161,2026-01-04,Serie A,Napoli,Lazio,AWAY,2.2,102,0.659,AWAY,WIN,3029.35,121.17,145.4,3174.75,4.8,217.5
162,2026-01-07,Premier League,Aston Villa,Crystal Palace,AWAY,2.25,123,0.712,DRAW,LOSS,3174.75,126.99,-126.99,3047.76,-4.0,204.8
163,2026-01-11,La Liga,Espanyol,Levante,AWAY,2.3,105,0.691,DRAW,LOSS,3047.76,121.91,-121.91,2925.85,-4.0,192.6
164,2026-01-11,Serie A,Lazio,Hellas Verona,AWAY,2.38,95,0.685,AWAY,WIN,2925.85,117.03,161.5,3087.35,5.5,208.7
165,2026-01-15,Serie A,AC Milan,Como,AWAY,2.3,85,0.586,AWAY,WIN,3087.35,123.49,160.54,3247.89,5.2,224.8
166,2026-01-16,Bundesliga,Eintracht Frankfurt,Werder Bremen,AWAY,2.45,82,0.618,DRAW,LOSS,3247.89,129.92,-129.92,3117.97,-4.0,211.8
167,2026-01-17,La Liga,Villarreal,Real Betis,AWAY,2.5,95,0.675,HOME,LOSS,3117.97,124.72,-124.72,2993.25,-4.0,199.3
168,2026-01-24,Bundesliga,Borussia Dortmund,Union Berlin,AWAY,2.3,125,0.731,AWAY,WIN,2993.25,119.73,155.65,3148.9,5.2,214.9
169,2026-01-25,Premier League,Chelsea,Crystal Palace,AWAY,2.2,99,0.606,AWAY,WIN,3148.9,125.96,151.15,3300.05,4.8,230.0
170,2026-01-26,Serie A,Udinese,Hellas Verona,AWAY,2.6,83,0.604,AWAY,WIN,3300.05,132.0,211.2,3511.25,6.4,251.1
171,2026-01-31,Serie A,Sassuolo,Pisa,AWAY,2.5,80,0.594,AWAY,WIN,3511.25,140.45,210.67,3721.92,6.0,272.2
172,2026-01-31,Premier League,Bournemouth,Wolves,AWAY,2.35,99,0.726,AWAY,WIN,3721.92,148.88,200.99,3922.91,5.4,292.3
173,2026-02-03,Serie A,AC Milan,Bologna,AWAY,2.5,107,0.714,AWAY,WIN,3922.91,156.92,235.38,4158.29,6.0,315.8
174,2026-02-07,Bundesliga,Hamburger SV,1. FC Heidenheim,AWAY,2.4,97,0.635,AWAY,WIN,4158.29,166.33,232.86,4391.15,5.6,339.1
175,2026-02-07,Premier League,West Ham,Burnley,AWAY,2.2,88,0.612,AWAY,WIN,4391.15,175.65,210.78,4601.93,4.8,360.2
176,2026-02-07,Premier League,Aston Villa,Bournemouth,AWAY,2.35,81,0.646,DRAW,LOSS,4601.93,184.08,-184.08,4417.85,-4.0,341.8
177,2026-02-14,La Liga,Villarreal,Getafe,AWAY,2.25,109,0.785,HOME,LOSS,4417.85,176.71,-176.71,4241.14,-4.0,324.1
178,2026-02-15,La Liga,Athletic Club,Oviedo,AWAY,2.25,83,0.618,AWAY,WIN,4241.14,169.65,212.06,4453.2,5.0,345.3
179,2026-02-15,La Liga,Real Betis,Mallorca,AWAY,2.4,87,0.696,AWAY,WIN,4453.2,178.13,249.38,4702.58,5.6,370.3
180,2026-02-16,Primeira Liga,Moreirense,Rio Ave,AWAY,2.25,92,0.568,AWAY,WIN,4702.58,188.1,235.12,4937.7,5.0,393.8
181,2026-02-21,Bundesliga,Bayer Leverkusen,Union Berlin,AWAY,2.38,118,0.73,HOME,LOSS,4937.7,197.51,-197.51,4740.19,-4.0,374.0
182,2026-02-22,Ligue 1,Rennes,Auxerre,AWAY,2.4,100,0.662,AWAY,WIN,4740.19,189.61,265.45,5005.64,5.6,400.6
183,2026-02-28,La Liga,Real Sociedad,Mallorca,AWAY,2.3,89,0.613,AWAY,WIN,5005.64,200.23,260.3,5265.94,5.2,426.6
184,2026-03-04,Premier League,Manchester United,Newcastle,AWAY,2.55,90,0.635,HOME,LOSS,5265.94,210.64,-210.64,5055.3,-4.0,405.5
185,2026-03-06,La Liga,Real Madrid,Celta Vigo,AWAY,2.25,84,0.715,AWAY,WIN,5055.3,202.21,252.76,5308.06,5.0,430.8
186,2026-03-07,Bundesliga,Bayer Leverkusen,SC Freiburg,AWAY,2.38,86,0.627,DRAW,LOSS,5308.06,212.32,-212.32,5095.74,-4.0,409.6
187,2026-03-13,La Liga,Villarreal,Alaves,AWAY,2.2,95,0.787,DRAW,LOSS,5095.74,203.83,-203.83,4891.91,-4.0,389.2
188,2026-03-15,Serie A,Genoa,Hellas Verona,AWAY,2.4,134,0.665,AWAY,WIN,4891.91,195.68,273.95,5165.86,5.6,416.6
189,2026-03-21,Premier League,Chelsea,Everton,AWAY,2.25,82,0.567,HOME,LOSS,5165.86,206.63,-206.63,4959.23,-4.0,395.9
190,2026-04-05,Serie A,Bologna,Cremonese,AWAY,2.25,130,0.6,AWAY,WIN,4959.23,198.37,247.96,5207.19,5.0,420.7
