ODDS_MIN,GAP_MIN,EV_MIN_%,N_all,WR_all_%,FlatROI_all_%,BK_all_$,N_F1,WR_F1_%,FlatROI_F1_%,KellyROI_F1_%,N_F2,WR_F2_%,FlatROI_F2_%,KellyROI_F2_%,MaxDD_F2_%,Avg_F1_F2_%
2.2,80,20,258,45.7,10.5,2182.46,60,51.7,24.6,25.1,79,44.3,6.9,4.4,30.4,15.8
2.2,80,25,257,45.5,10.1,2082.5,60,51.7,24.6,25.1,79,44.3,6.9,4.4,30.4,15.8
2.0,100,25,189,50.3,12.2,2081.38,43,58.1,32.2,31.2,63,44.4,-0.9,-3.7,39.3,15.7
2.0,100,5,195,49.7,10.9,1915.74,44,59.1,33.9,32.9,65,43.1,-3.9,-7.0,44.1,15.0
2.0,100,10,195,49.7,10.9,1915.74,44,59.1,33.9,32.9,65,43.1,-3.9,-7.0,44.1,15.0
2.0,100,12,195,49.7,10.9,1915.74,44,59.1,33.9,32.9,65,43.1,-3.9,-7.0,44.1,15.0
2.0,100,15,195,49.7,10.9,1915.74,44,59.1,33.9,32.9,65,43.1,-3.9,-7.0,44.1,15.0
2.0,100,18,195,49.7,10.9,1915.74,44,59.1,33.9,32.9,65,43.1,-3.9,-7.0,44.1,15.0
2.0,100,20,195,49.7,10.9,1915.74,44,59.1,33.9,32.9,65,43.1,-3.9,-7.0,44.1,15.0
2.0,100,3,195,49.7,10.9,1915.74,44,59.1,33.9,32.9,65,43.1,-3.9,-7.0,44.1,15.0
2.0,100,7,195,49.7,10.9,1915.74,44,59.1,33.9,32.9,65,43.1,-3.9,-7.0,44.1,15.0
1.9,90,20,366,50.8,11.3,3640.38,77,55.8,23.7,24.4,124,48.4,6.3,4.7,39.8,15.0
1.9,90,3,379,50.7,10.5,3361.79,77,55.8,23.7,24.4,128,48.4,6.0,3.7,37.8,14.8
1.9,90,5,379,50.7,10.5,3361.79,77,55.8,23.7,24.4,128,48.4,6.0,3.7,37.8,14.8
1.9,90,18,369,50.4,10.4,3220.77,77,55.8,23.7,24.4,125,48.0,5.4,3.6,39.8,14.6
1.9,90,25,342,50.9,12.1,3742.81,74,55.4,23.3,23.8,117,47.9,5.9,4.2,37.5,14.6
1.9,90,7,378,50.5,10.3,3314.99,77,55.8,23.7,24.4,127,48.0,5.3,3.4,37.8,14.5
1.9,90,10,378,50.5,10.3,3314.99,77,55.8,23.7,24.4,127,48.0,5.3,3.4,37.8,14.5
1.9,90,12,377,50.7,10.6,3426.4,77,55.8,23.7,24.4,127,48.0,5.3,3.4,37.8,14.5
1.9,90,15,371,50.4,10.3,3203.25,77,55.8,23.7,24.4,126,47.6,4.6,2.6,39.8,14.1
2.0,80,25,386,46.9,7.8,2198.71,83,51.8,20.7,22.2,127,47.2,7.3,5.4,31.1,14.0
2.0,80,20,398,46.7,7.1,2037.34,85,51.8,20.2,22.1,130,46.9,6.4,4.4,33.7,13.3
2.0,80,18,406,46.3,6.0,1731.51,85,51.8,20.2,22.1,132,46.2,4.8,2.5,36.4,12.5
2.0,80,15,407,46.4,6.2,1800.77,85,51.8,20.2,22.1,132,46.2,4.8,2.5,36.4,12.5
2.0,80,12,409,46.5,6.2,1808.55,85,51.8,20.2,22.1,132,46.2,4.8,2.5,36.4,12.5
2.0,80,10,409,46.5,6.2,1808.55,85,51.8,20.2,22.1,132,46.2,4.8,2.5,36.4,12.5
2.0,80,7,409,46.5,6.2,1808.55,85,51.8,20.2,22.1,132,46.2,4.8,2.5,36.4,12.5
2.0,80,3,409,46.5,6.2,1808.55,85,51.8,20.2,22.1,132,46.2,4.8,2.5,36.4,12.5
2.0,80,5,409,46.5,6.2,1808.55,85,51.8,20.2,22.1,132,46.2,4.8,2.5,36.4,12.5
1.9,80,3,502,48.2,6.5,2181.84,103,52.4,17.9,19.3,160,48.8,6.9,5.2,39.2,12.4
1.9,80,5,502,48.2,6.5,2181.84,103,52.4,17.9,19.3,160,48.8,6.9,5.2,39.2,12.4
1.9,100,3,258,50.8,9.2,2024.12,58,56.9,24.8,23.9,84,46.4,-0.4,-3.4,42.9,12.2
1.9,100,12,257,51.0,9.6,2092.15,58,56.9,24.8,23.9,84,46.4,-0.4,-3.4,42.9,12.2
1.9,100,5,258,50.8,9.2,2024.12,58,56.9,24.8,23.9,84,46.4,-0.4,-3.4,42.9,12.2
1.9,100,7,258,50.8,9.2,2024.12,58,56.9,24.8,23.9,84,46.4,-0.4,-3.4,42.9,12.2
1.9,100,10,258,50.8,9.2,2024.12,58,56.9,24.8,23.9,84,46.4,-0.4,-3.4,42.9,12.2
1.9,100,18,252,50.8,9.5,2046.18,58,56.9,24.8,23.9,82,46.3,-0.4,-3.2,44.8,12.2
1.9,100,20,251,51.0,9.9,2131.44,58,56.9,24.8,23.9,82,46.3,-0.4,-3.2,44.8,12.2
1.9,80,25,446,48.4,8.3,2811.51,98,52.0,17.8,18.8,146,47.9,6.5,5.0,38.6,12.2
1.9,100,25,233,51.1,10.9,2198.5,55,56.4,24.3,23.3,76,46.1,-0.1,-2.9,42.3,12.1
1.9,80,12,500,48.2,6.5,2223.77,103,52.4,17.9,19.3,159,48.4,6.4,4.9,39.2,12.1
1.9,80,10,501,48.1,6.3,2151.46,103,52.4,17.9,19.3,159,48.4,6.4,4.9,39.2,12.1
1.9,80,7,501,48.1,6.3,2151.46,103,52.4,17.9,19.3,159,48.4,6.4,4.9,39.2,12.1
1.9,80,20,477,48.0,6.7,2226.12,102,52.0,17.1,18.3,153,48.4,6.8,5.3,38.8,12.0
1.9,100,15,253,50.6,9.0,1964.34,58,56.9,24.8,23.9,83,45.8,-1.6,-4.7,44.8,11.6
1.9,80,18,488,47.5,5.5,1807.1,103,52.4,17.9,19.3,155,47.7,5.4,3.5,41.2,11.6
1.9,80,15,492,47.8,5.9,1936.45,103,52.4,17.9,19.3,157,47.8,5.3,3.5,41.2,11.6
2.4,90,12,79,43.0,9.5,1221.83,14,42.9,12.7,10.4,31,41.9,8.7,6.1,18.5,10.7
2.4,90,10,79,43.0,9.5,1221.83,14,42.9,12.7,10.4,31,41.9,8.7,6.1,18.5,10.7
2.4,90,3,79,43.0,9.5,1221.83,14,42.9,12.7,10.4,31,41.9,8.7,6.1,18.5,10.7
2.4,90,5,79,43.0,9.5,1221.83,14,42.9,12.7,10.4,31,41.9,8.7,6.1,18.5,10.7
2.4,90,15,79,43.0,9.5,1221.83,14,42.9,12.7,10.4,31,41.9,8.7,6.1,18.5,10.7
2.4,90,18,79,43.0,9.5,1221.83,14,42.9,12.7,10.4,31,41.9,8.7,6.1,18.5,10.7
2.4,90,7,79,43.0,9.5,1221.83,14,42.9,12.7,10.4,31,41.9,8.7,6.1,18.5,10.7
2.4,90,20,79,43.0,9.5,1221.83,14,42.9,12.7,10.4,31,41.9,8.7,6.1,18.5,10.7
2.4,90,25,79,43.0,9.5,1221.83,14,42.9,12.7,10.4,31,41.9,8.7,6.1,18.5,10.7
1.75,110,25,192,53.1,7.8,1547.97,48,58.3,20.5,20.6,64,50.0,0.4,-1.8,37.9,10.5
1.65,90,5,609,53.5,7.1,3129.25,120,60.0,21.6,24.3,205,49.3,-0.8,-4.2,47.2,10.4
1.65,110,5,333,55.6,5.4,1530.09,77,64.9,25.0,27.6,103,50.5,-4.3,-6.9,44.0,10.3
1.65,110,7,331,55.3,5.0,1483.85,77,64.9,25.0,27.6,103,50.5,-4.3,-6.9,44.0,10.3
1.75,90,5,495,51.1,6.8,2402.49,100,57.0,20.7,22.2,168,47.6,-0.1,-3.8,42.7,10.3
1.75,110,15,226,52.2,4.7,1275.35,54,61.1,24.7,25.5,73,47.9,-4.3,-7.3,40.3,10.2
1.75,110,5,235,52.8,5.4,1362.18,57,61.4,24.6,26.1,73,47.9,-4.3,-7.3,40.3,10.1
1.75,110,7,235,52.8,5.4,1362.18,57,61.4,24.6,26.1,73,47.9,-4.3,-7.3,40.3,10.1
1.75,110,10,232,52.6,5.2,1329.21,57,61.4,24.6,26.1,73,47.9,-4.3,-7.3,40.3,10.1
1.65,90,7,606,53.3,6.7,2992.43,120,60.0,21.6,24.3,204,49.0,-1.3,-4.4,47.9,10.1
1.75,90,7,494,51.0,6.7,2369.05,100,57.0,20.7,22.2,167,47.3,-0.7,-4.0,42.7,10.0
1.75,110,18,217,52.5,5.8,1380.04,53,60.4,23.6,24.2,71,47.9,-4.1,-6.9,41.0,9.8
1.75,90,10,489,50.9,6.6,2324.04,100,57.0,20.7,22.2,166,47.0,-1.1,-4.4,43.3,9.8
1.75,90,3,496,51.0,6.6,2368.79,101,56.4,19.5,21.6,168,47.6,-0.1,-3.8,42.7,9.7
1.75,110,12,229,52.4,5.0,1307.4,56,60.7,23.6,24.8,73,47.9,-4.3,-7.3,40.3,9.6
1.65,90,3,618,53.4,6.6,3035.11,123,59.3,20.0,23.6,205,49.3,-0.8,-4.2,47.2,9.6
1.65,90,10,591,52.8,6.2,2634.08,119,59.7,21.2,23.8,201,48.3,-2.4,-5.3,51.0,9.4
1.65,110,10,323,54.8,4.3,1369.54,76,64.5,24.4,26.9,101,49.5,-5.8,-8.2,46.3,9.3
1.75,90,18,458,50.4,6.6,2203.54,96,56.2,20.0,20.7,161,46.6,-1.5,-4.6,46.6,9.3
1.75,110,20,211,52.1,5.4,1319.67,51,58.8,21.3,21.6,70,48.6,-2.7,-5.4,38.5,9.3
1.65,110,15,305,54.4,4.2,1328.13,73,64.4,24.4,26.3,101,49.5,-5.8,-8.2,46.3,9.3
1.75,90,12,481,50.5,6.2,2122.56,99,56.6,20.1,21.2,165,46.7,-1.6,-4.9,44.8,9.2
1.65,80,5,735,51.4,4.9,2065.79,146,56.8,17.8,21.4,239,49.4,0.6,-2.7,53.1,9.2
1.75,90,15,472,50.4,6.2,2078.74,97,56.7,20.6,21.4,164,46.3,-2.2,-5.6,46.6,9.2
1.75,110,3,236,52.5,5.0,1343.07,58,60.3,22.5,25.2,73,47.9,-4.3,-7.3,40.3,9.1
1.75,90,25,413,50.6,8.1,2576.55,90,54.4,17.4,17.8,146,47.3,0.8,-1.9,42.8,9.1
1.65,80,7,732,51.2,4.6,1975.46,146,56.8,17.8,21.4,238,49.2,0.2,-2.9,53.7,9.0
1.65,110,12,314,54.5,4.0,1304.55,75,64.0,23.6,25.8,101,49.5,-5.8,-8.2,46.3,8.9
1.65,90,15,561,52.2,5.9,2313.75,116,59.5,21.1,23.1,199,47.7,-3.3,-6.3,53.9,8.9
1.65,90,12,577,52.3,5.8,2329.79,118,59.3,20.7,23.0,200,48.0,-2.8,-5.7,52.3,8.9
1.75,90,20,446,50.4,7.1,2329.43,93,54.8,17.9,18.5,157,47.1,-0.1,-3.1,46.0,8.9
1.75,80,5,620,49.0,4.2,1546.57,126,54.0,16.6,18.6,201,47.8,1.1,-2.3,51.3,8.8
1.65,110,3,341,55.1,4.4,1468.94,79,63.3,21.8,26.0,103,50.5,-4.3,-6.9,44.0,8.7
1.65,80,3,745,51.3,4.4,1978.49,149,56.4,16.6,20.7,239,49.4,0.6,-2.7,53.1,8.6
1.75,80,7,619,48.9,4.1,1525.04,126,54.0,16.6,18.6,200,47.5,0.7,-2.5,51.3,8.6
1.65,110,18,285,54.4,4.9,1402.28,69,62.3,21.7,23.0,98,50.0,-4.7,-7.0,45.7,8.5
1.65,90,18,533,52.0,6.2,2361.67,112,58.0,19.4,20.8,192,47.9,-2.5,-5.5,53.1,8.5
1.65,80,10,717,50.8,4.2,1738.9,145,56.6,17.5,20.9,235,48.5,-0.7,-3.7,56.4,8.4
1.75,80,10,614,48.9,4.0,1496.06,126,54.0,16.6,18.6,199,47.2,0.3,-2.9,51.3,8.4
1.75,80,3,622,48.9,3.9,1505.73,127,53.5,15.6,18.2,201,47.8,1.1,-2.3,51.3,8.4
1.65,90,20,510,51.4,5.9,2126.05,107,57.0,18.2,19.2,184,47.8,-1.9,-5.1,53.2,8.2
1.65,110,20,270,53.3,3.7,1203.0,65,61.5,21.0,21.6,93,49.5,-5.0,-7.6,46.4,8.0
1.75,80,12,606,48.5,3.6,1366.37,125,53.6,16.0,17.8,198,47.0,-0.2,-3.3,52.0,7.9
1.75,80,25,518,48.5,5.4,1858.03,114,51.8,14.0,14.5,176,47.2,1.6,-1.0,48.2,7.8
1.65,80,12,702,50.3,3.7,1499.77,144,56.2,17.0,20.1,233,48.1,-1.4,-4.5,57.6,7.8
1.75,80,15,595,48.2,3.3,1246.44,123,53.7,16.4,17.9,196,46.4,-1.1,-4.5,53.5,7.6
1.65,80,15,684,50.0,3.4,1387.35,142,56.3,17.4,20.1,231,47.6,-2.2,-5.4,59.0,7.6
1.75,80,18,579,48.0,3.3,1226.3,122,53.3,15.9,17.2,192,46.4,-1.0,-4.2,54.9,7.5
1.75,80,20,559,48.1,3.9,1412.89,118,51.7,13.5,14.3,187,47.1,0.7,-2.1,52.5,7.1
1.65,80,18,654,49.5,3.3,1314.3,138,55.1,15.8,17.9,223,47.5,-1.9,-5.0,59.1,7.0
1.65,100,5,468,54.1,5.5,1798.53,101,61.4,21.8,23.2,149,47.0,-7.9,-11.3,61.1,7.0
1.65,100,7,466,53.9,5.2,1744.18,101,61.4,21.8,23.2,149,47.0,-7.9,-11.3,61.1,7.0
1.65,80,20,623,49.1,3.3,1289.53,132,53.8,14.2,15.6,214,47.7,-0.9,-4.1,57.5,6.6
1.65,90,25,457,51.0,6.6,2203.47,98,54.1,14.7,14.7,167,47.3,-1.7,-5.0,49.3,6.5
1.65,100,10,454,53.1,4.2,1487.78,100,61.0,21.3,22.6,147,46.3,-8.9,-12.3,62.6,6.2
1.65,100,3,477,53.9,4.9,1744.43,104,60.6,20.0,22.3,149,47.0,-7.9,-11.3,61.1,6.1
1.75,100,10,358,50.8,4.3,1352.62,81,58.0,20.8,20.9,117,44.4,-8.6,-13.1,58.4,6.1
1.75,100,7,361,51.0,4.5,1386.17,81,58.0,20.8,20.9,117,44.4,-8.6,-13.1,58.4,6.1
1.75,100,5,361,51.0,4.5,1386.17,81,58.0,20.8,20.9,117,44.4,-8.6,-13.1,58.4,6.1
1.65,120,7,216,54.2,-0.1,838.9,53,64.2,18.9,19.9,71,49.3,-7.1,-10.3,39.2,5.9
1.65,120,5,216,54.2,-0.1,838.9,53,64.2,18.9,19.9,71,49.3,-7.1,-10.3,39.2,5.9
1.65,120,3,222,54.1,-0.5,828.19,53,64.2,18.9,19.9,71,49.3,-7.1,-10.3,39.2,5.9
1.65,100,12,442,52.7,3.9,1386.18,99,60.6,20.7,21.7,147,46.3,-8.9,-12.3,62.6,5.9
1.65,100,15,430,52.6,3.8,1368.39,97,60.8,21.3,21.9,146,45.9,-9.7,-13.1,63.8,5.8
1.65,80,25,562,48.9,4.4,1588.99,122,51.6,12.0,12.2,197,47.2,-0.7,-3.8,53.7,5.7
1.75,100,12,352,50.6,4.1,1301.32,80,57.5,20.0,19.9,117,44.4,-8.6,-13.1,58.4,5.7
1.65,100,18,408,52.7,4.8,1567.7,93,59.1,19.2,19.3,141,46.8,-7.7,-11.1,60.3,5.7
1.75,100,15,346,50.3,3.7,1230.88,78,57.7,20.7,20.2,116,44.0,-9.5,-14.1,59.8,5.6
1.75,100,18,336,50.6,4.6,1387.42,77,57.1,19.9,19.3,113,44.2,-8.7,-12.9,57.6,5.6
1.65,110,25,234,53.4,5.1,1342.99,56,57.1,15.3,14.8,83,49.4,-4.2,-6.9,44.2,5.5
1.65,120,15,198,53.0,-1.4,780.27,50,64.0,18.9,19.7,70,48.6,-8.2,-11.2,40.4,5.4
1.75,100,3,362,50.8,4.2,1366.72,82,57.3,19.3,20.3,117,44.4,-8.6,-13.1,58.4,5.4
1.75,100,25,303,50.5,5.4,1469.37,71,54.9,16.7,15.8,104,45.2,-6.3,-10.1,52.4,5.2
1.65,100,20,389,51.7,3.7,1286.09,88,58.0,17.8,17.5,136,46.3,-8.0,-11.9,60.8,4.9
1.65,120,10,211,53.6,-1.0,790.73,52,63.5,17.9,18.8,70,48.6,-8.2,-11.2,40.4,4.9
1.75,100,20,328,50.3,4.4,1336.56,74,55.4,17.4,16.7,112,44.6,-7.9,-12.1,56.6,4.7
1.65,120,12,205,52.7,-2.3,717.72,51,62.7,16.6,17.3,70,48.6,-8.2,-11.2,40.4,4.2
1.75,120,15,133,48.9,-4.0,728.64,34,55.9,10.7,10.1,48,47.9,-4.7,-7.8,32.7,3.0
1.65,100,25,346,51.2,4.1,1308.97,79,54.4,13.3,12.3,124,46.0,-7.8,-11.7,56.5,2.8
1.75,120,7,136,49.3,-3.4,737.87,36,55.6,9.7,8.9,48,47.9,-4.7,-7.8,32.7,2.5
1.75,120,5,136,49.3,-3.4,737.87,36,55.6,9.7,8.9,48,47.9,-4.7,-7.8,32.7,2.5
1.75,120,3,136,49.3,-3.4,737.87,36,55.6,9.7,8.9,48,47.9,-4.7,-7.8,32.7,2.5
1.75,120,10,135,48.9,-4.0,720.14,36,55.6,9.7,8.9,48,47.9,-4.7,-7.8,32.7,2.5
1.65,120,18,182,52.2,-2.2,747.83,46,60.9,14.4,14.3,69,47.8,-9.4,-12.6,42.1,2.5
2.4,80,7,135,40.0,3.2,1001.07,30,40.0,4.3,1.3,44,38.6,-0.9,-4.5,25.6,1.7
2.4,80,15,135,40.0,3.2,1001.07,30,40.0,4.3,1.3,44,38.6,-0.9,-4.5,25.6,1.7
2.4,80,3,135,40.0,3.2,1001.07,30,40.0,4.3,1.3,44,38.6,-0.9,-4.5,25.6,1.7
2.4,80,5,135,40.0,3.2,1001.07,30,40.0,4.3,1.3,44,38.6,-0.9,-4.5,25.6,1.7
2.4,80,18,135,40.0,3.2,1001.07,30,40.0,4.3,1.3,44,38.6,-0.9,-4.5,25.6,1.7
2.4,80,20,135,40.0,3.2,1001.07,30,40.0,4.3,1.3,44,38.6,-0.9,-4.5,25.6,1.7
2.4,80,25,135,40.0,3.2,1001.07,30,40.0,4.3,1.3,44,38.6,-0.9,-4.5,25.6,1.7
2.4,80,12,135,40.0,3.2,1001.07,30,40.0,4.3,1.3,44,38.6,-0.9,-4.5,25.6,1.7
2.4,80,10,135,40.0,3.2,1001.07,30,40.0,4.3,1.3,44,38.6,-0.9,-4.5,25.6,1.7
1.75,120,12,134,48.5,-4.7,699.49,35,54.3,7.6,6.6,48,47.9,-4.7,-7.8,32.7,1.4
1.75,120,18,126,48.4,-4.3,726.64,33,54.5,8.5,7.5,47,46.8,-6.4,-9.7,34.7,1.0
2.6,80,20,64,32.8,-9.3,723.76,12,41.7,14.2,11.1,22,31.8,-12.3,-15.5,27.9,0.9
2.6,80,25,64,32.8,-9.3,723.76,12,41.7,14.2,11.1,22,31.8,-12.3,-15.5,27.9,0.9
2.6,80,18,64,32.8,-9.3,723.76,12,41.7,14.2,11.1,22,31.8,-12.3,-15.5,27.9,0.9
2.6,80,15,64,32.8,-9.3,723.76,12,41.7,14.2,11.1,22,31.8,-12.3,-15.5,27.9,0.9
2.6,80,12,64,32.8,-9.3,723.76,12,41.7,14.2,11.1,22,31.8,-12.3,-15.5,27.9,0.9
2.6,80,10,64,32.8,-9.3,723.76,12,41.7,14.2,11.1,22,31.8,-12.3,-15.5,27.9,0.9
2.6,80,5,64,32.8,-9.3,723.76,12,41.7,14.2,11.1,22,31.8,-12.3,-15.5,27.9,0.9
2.6,80,3,64,32.8,-9.3,723.76,12,41.7,14.2,11.1,22,31.8,-12.3,-15.5,27.9,0.9
2.6,80,7,64,32.8,-9.3,723.76,12,41.7,14.2,11.1,22,31.8,-12.3,-15.5,27.9,0.9
1.75,120,25,113,47.8,-4.8,734.03,30,53.3,7.2,5.9,43,46.5,-6.6,-10.1,36.6,0.3
2.6,120,3,0,0.0,0.0,1000.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2.6,120,5,0,0.0,0.0,1000.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2.6,120,7,0,0.0,0.0,1000.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2.6,120,10,0,0.0,0.0,1000.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2.6,120,15,0,0.0,0.0,1000.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2.6,120,18,0,0.0,0.0,1000.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2.6,120,20,0,0.0,0.0,1000.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2.6,120,12,0,0.0,0.0,1000.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2.6,120,25,0,0.0,0.0,1000.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1.65,120,20,173,50.3,-5.1,617.83,43,58.1,9.9,9.2,66,47.0,-10.3,-14.0,43.7,-0.2
1.75,120,20,123,47.2,-6.4,659.58,31,51.6,3.7,2.0,47,46.8,-6.4,-9.7,34.7,-1.4
1.65,120,25,151,49.7,-5.2,652.35,37,54.1,5.0,3.5,60,46.7,-10.5,-14.8,44.6,-2.8
2.4,120,20,5,40.0,-2.0,990.34,1,0.0,-100.0,-100.0,2,50.0,20.0,17.6,4.0,-40.0
2.4,120,18,5,40.0,-2.0,990.34,1,0.0,-100.0,-100.0,2,50.0,20.0,17.6,4.0,-40.0
2.4,120,15,5,40.0,-2.0,990.34,1,0.0,-100.0,-100.0,2,50.0,20.0,17.6,4.0,-40.0
2.4,120,12,5,40.0,-2.0,990.34,1,0.0,-100.0,-100.0,2,50.0,20.0,17.6,4.0,-40.0
2.4,120,10,5,40.0,-2.0,990.34,1,0.0,-100.0,-100.0,2,50.0,20.0,17.6,4.0,-40.0
2.4,120,7,5,40.0,-2.0,990.34,1,0.0,-100.0,-100.0,2,50.0,20.0,17.6,4.0,-40.0
2.4,120,5,5,40.0,-2.0,990.34,1,0.0,-100.0,-100.0,2,50.0,20.0,17.6,4.0,-40.0
2.4,120,3,5,40.0,-2.0,990.34,1,0.0,-100.0,-100.0,2,50.0,20.0,17.6,4.0,-40.0
2.4,120,25,5,40.0,-2.0,990.34,1,0.0,-100.0,-100.0,2,50.0,20.0,17.6,4.0,-40.0
